episode_num,steps,score,total_rewards,avg_rewards
1,50,0,-6.899999999999999,-0.138
2,100,0,-8.099999999999998,-0.162
3,150,0,-7.499999999999998,-0.15
4,200,0,-8.7,-0.174
5,250,0,-7.499999999999998,-0.15
6,300,0,-7.499999999999998,-0.15
7,350,0,-7.499999999999998,-0.15
8,400,0,-8.099999999999998,-0.162
9,450,0,-8.7,-0.174
10,500,0,-8.099999999999998,-0.162
11,550,0,-8.099999999999998,-0.162
12,600,0,-5.099999999999998,-0.102
13,650,0,-6.899999999999999,-0.138
14,700,0,-8.099999999999998,-0.162
15,750,0,-7.499999999999998,-0.15
16,800,0,-8.099999999999998,-0.162
17,850,0,-8.7,-0.174
18,900,0,-5.699999999999998,-0.11399999999999999
19,950,0,-8.099999999999998,-0.162
20,1000,0,-8.099999999999998,-0.162
21,1050,0,-7.499999999999998,-0.15
22,1100,0,-8.7,-0.174
23,1150,0,-8.099999999999998,-0.162
24,1200,0,-8.099999999999998,-0.162
25,1250,0,-8.099999999999998,-0.162
26,1300,0,-8.7,-0.174
27,1350,0,-7.499999999999998,-0.15
28,1400,0,-8.7,-0.174
29,1450,0,-8.099999999999998,-0.162
30,1500,0,-8.7,-0.174
31,1550,0,-6.899999999999999,-0.138
32,1600,0,-8.7,-0.174
33,1650,0,-8.099999999999998,-0.162
34,1700,0,-8.7,-0.174
35,1750,0,-8.099999999999998,-0.162
36,1800,0,-8.099999999999998,-0.162
37,1850,0,-8.099999999999998,-0.162
38,1900,0,-8.7,-0.174
39,1950,0,-8.099999999999998,-0.162
40,2000,0,-8.099999999999998,-0.162
41,2050,0,-7.499999999999998,-0.15
42,2100,0,-8.099999999999998,-0.162
43,2150,0,-8.099999999999998,-0.162
44,2200,0,-6.899999999999999,-0.138
45,2250,0,-7.499999999999998,-0.15
46,2300,0,-7.499999999999998,-0.15
47,2350,0,-8.7,-0.174
48,2400,0,-7.499999999999998,-0.15
49,2450,0,-8.7,-0.174
50,2500,0,-8.7,-0.174
51,2550,0,-7.499999999999998,-0.15
52,2600,0,-6.899999999999999,-0.138
53,2650,0,-8.099999999999998,-0.162
54,2700,0,-8.099999999999998,-0.162
55,2750,0,-8.099999999999998,-0.162
56,2800,0,-8.7,-0.174
57,2850,0,-8.099999999999998,-0.162
58,2900,0,-6.299999999999999,-0.126
59,2950,0,-8.099999999999998,-0.162
60,3000,0,-8.099999999999998,-0.162
61,3050,0,-7.499999999999998,-0.15
62,3100,0,-7.499999999999998,-0.15
63,3150,0,-8.099999999999998,-0.162
64,3200,0,-8.7,-0.174
65,3250,0,-7.499999999999998,-0.15
66,3300,0,-8.7,-0.174
67,3350,0,-8.099999999999998,-0.162
68,3400,0,-8.099999999999998,-0.162
69,3450,0,-7.499999999999998,-0.15
70,3500,0,-6.299999999999999,-0.126
71,3550,0,-8.7,-0.174
72,3600,0,-6.899999999999999,-0.138
73,3650,0,-8.7,-0.174
74,3700,0,-8.099999999999998,-0.162
75,3750,0,-8.099999999999998,-0.162
76,3800,0,-8.7,-0.174
77,3850,0,-8.7,-0.174
78,3900,0,-8.099999999999998,-0.162
79,3950,0,-8.099999999999998,-0.162
80,4000,0,-8.7,-0.174
81,4050,0,-7.499999999999998,-0.15
82,4100,0,-7.499999999999998,-0.15
83,4150,0,-7.499999999999998,-0.15
84,4200,0,-8.099999999999998,-0.162
85,4250,0,-7.499999999999998,-0.15
86,4300,0,-7.499999999999998,-0.15
87,4350,0,-5.699999999999998,-0.11399999999999999
88,4400,0,-6.299999999999999,-0.126
89,4450,0,-8.7,-0.174
90,4500,0,-7.499999999999998,-0.15
91,4550,0,-8.099999999999998,-0.162
92,4600,0,-6.899999999999999,-0.138
93,4650,0,-8.7,-0.174
94,4700,0,-8.7,-0.174
95,4750,0,-7.499999999999998,-0.15
96,4800,0,-8.7,-0.174
97,4850,0,-8.7,-0.174
98,4900,0,-7.499999999999998,-0.15
99,4950,0,-6.899999999999999,-0.138
100,5000,0,-8.099999999999998,-0.162
101,5050,0,-8.7,-0.174
102,5100,0,-8.099999999999998,-0.162
103,5150,0,-7.499999999999998,-0.15
104,5200,0,-6.899999999999999,-0.138
105,5250,0,-5.699999999999998,-0.11399999999999999
106,5300,0,-8.099999999999998,-0.162
107,5350,0,-8.099999999999998,-0.162
108,5400,0,-8.099999999999998,-0.162
109,5450,0,-8.7,-0.174
110,5500,0,-8.7,-0.174
111,5550,0,-6.899999999999999,-0.138
112,5600,0,-8.7,-0.174
113,5650,0,-7.499999999999998,-0.15
114,5700,0,-8.099999999999998,-0.162
115,5750,0,-6.299999999999999,-0.126
116,5800,0,-7.499999999999998,-0.15
117,5850,0,-8.099999999999998,-0.162
118,5900,0,-6.299999999999999,-0.126
119,5950,0,-8.7,-0.174
120,6000,0,-8.099999999999998,-0.162
121,6050,0,-7.499999999999998,-0.15
122,6100,0,-8.099999999999998,-0.162
123,6150,0,-6.899999999999999,-0.138
124,6200,0,-8.099999999999998,-0.162
125,6250,0,-8.099999999999998,-0.162
126,6300,0,-6.899999999999999,-0.138
127,6350,0,-7.499999999999998,-0.15
128,6400,0,-8.7,-0.174
129,6450,0,-7.499999999999998,-0.15
130,6500,0,-8.099999999999998,-0.162
