episode_num,steps,score,total_rewards,avg_rewards
0,50,0,-7.499999999999998,-7.499999999999998
1,100,0,-7.499999999999998,-7.499999999999998
2,150,0,-8.7,-8.7
3,200,0,-8.7,-8.7
4,250,0,-9.299999999999999,-9.299999999999999
5,300,0,-9.299999999999999,-9.299999999999999
6,350,0,-9.299999999999999,-9.299999999999999
7,400,0,-9.299999999999999,-9.299999999999999
8,450,0,-9.299999999999999,-9.299999999999999
9,500,0,-9.299999999999999,-9.299999999999999
10,550,0,-9.299999999999999,-9.299999999999999
11,600,0,-9.299999999999999,-9.299999999999999
12,650,0,-9.299999999999999,-9.299999999999999
13,700,0,-9.299999999999999,-9.299999999999999
14,750,0,-9.299999999999999,-9.299999999999999
15,800,0,-9.299999999999999,-9.299999999999999
16,850,0,-9.299999999999999,-9.299999999999999
17,900,0,-9.299999999999999,-9.299999999999999
18,950,0,-9.299999999999999,-9.299999999999999
19,1000,0,-9.299999999999999,-9.299999999999999
20,1050,0,-9.299999999999999,-9.299999999999999
21,1100,0,-9.299999999999999,-9.299999999999999
22,1150,0,-9.299999999999999,-9.299999999999999
23,1200,0,-9.299999999999999,-9.299999999999999
24,1250,0,-9.299999999999999,-9.299999999999999
25,1300,0,-9.299999999999999,-9.299999999999999
26,1350,0,-9.299999999999999,-9.299999999999999
27,1400,0,-9.299999999999999,-9.299999999999999
28,1450,0,-9.299999999999999,-9.299999999999999
29,1500,0,-9.299999999999999,-9.299999999999999
30,1550,0,-9.299999999999999,-9.299999999999999
31,1600,0,-9.299999999999999,-9.299999999999999
32,1650,0,-9.299999999999999,-9.299999999999999
33,1700,0,-9.299999999999999,-9.299999999999999
34,1750,0,-9.299999999999999,-9.299999999999999
35,1800,0,-9.299999999999999,-9.299999999999999
36,1850,0,-9.299999999999999,-9.299999999999999
37,1900,0,-9.299999999999999,-9.299999999999999
38,1950,0,-8.7,-8.7
39,2000,0,-9.299999999999999,-9.299999999999999
40,2050,0,-9.299999999999999,-9.299999999999999
41,2100,0,-9.299999999999999,-9.299999999999999
42,2150,0,-9.299999999999999,-9.299999999999999
43,2200,0,-9.299999999999999,-9.299999999999999
