episode_num,steps,score,total_rewards,avg_rewards
0,101,0,8.99999999999998,8.99999999999998
1,200,0,8.799999999999981,8.799999999999981
2,311,0,9.999999999999977,9.999999999999977
3,447,1,12.499999999999968,12.499999999999968
4,546,0,8.799999999999981,8.799999999999981
5,645,0,8.799999999999981,8.799999999999981
6,750,0,9.399999999999979,9.399999999999979
7,849,0,8.799999999999981,8.799999999999981
8,896,0,3.5999999999999996,3.5999999999999996
9,1143,2,23.60000000000008,23.60000000000008
10,1400,2,24.600000000000094,24.600000000000094
11,2282,24,87.09999999999927,87.09999999999927
12,3127,18,83.39999999999948,83.39999999999948
13,4068,26,92.99999999999893,92.99999999999893
14,4913,18,83.39999999999948,83.39999999999948
15,5758,18,83.39999999999948,83.39999999999948
16,6603,18,83.39999999999948,83.39999999999948
17,7448,18,83.39999999999948,83.39999999999948
18,8293,18,83.39999999999948,83.39999999999948
19,9181,24,87.69999999999924,87.69999999999924
20,10026,18,83.39999999999948,83.39999999999948
21,10877,18,83.99999999999945,83.99999999999945
22,11852,32,96.39999999999874,96.39999999999874
23,12794,26,93.09999999999893,93.09999999999893
24,13679,24,87.39999999999925,87.39999999999925
25,14561,24,87.09999999999927,87.09999999999927
26,15667,31,109.499999999998,109.499999999998
27,16514,18,83.59999999999947,83.59999999999947
28,17364,18,83.89999999999945,83.89999999999945
29,17991,8,61.60000000000062,61.60000000000062
30,18924,37,92.19999999999898,92.19999999999898
31,19692,11,75.69999999999992,75.69999999999992
32,20527,23,82.39999999999954,82.39999999999954
33,21295,11,75.69999999999992,75.69999999999992
34,22024,10,71.80000000000014,71.80000000000014
35,22651,8,61.60000000000062,61.60000000000062
36,23457,22,79.4999999999997,79.4999999999997
37,24138,9,67.00000000000041,67.00000000000041
38,24867,10,71.80000000000014,71.80000000000014
39,25712,18,83.39999999999948,83.39999999999948
40,26339,8,61.60000000000062,61.60000000000062
41,27068,10,71.80000000000014,71.80000000000014
42,27797,10,71.80000000000014,71.80000000000014
43,28606,22,79.79999999999968,79.79999999999968
44,29255,9,63.800000000000594,63.800000000000594
45,29950,9,68.40000000000033,68.40000000000033
46,30588,8,62.700000000000635,62.700000000000635
47,31269,9,67.00000000000041,67.00000000000041
48,31950,9,67.00000000000041,67.00000000000041
49,32631,9,67.00000000000041,67.00000000000041
50,33312,9,67.00000000000041,67.00000000000041
51,34044,10,72.10000000000012,72.10000000000012
52,34748,10,69.30000000000028,69.30000000000028
53,35432,9,67.3000000000004,67.3000000000004
54,36063,8,62.000000000000625,62.000000000000625
55,36877,17,80.29999999999966,80.29999999999966
56,37558,9,67.00000000000041,67.00000000000041
57,38260,10,69.10000000000029,69.10000000000029
58,38890,8,61.900000000000624,61.900000000000624
59,39812,20,91.09999999999904,91.09999999999904
60,40693,19,86.99999999999928,86.99999999999928
61,41574,19,86.99999999999928,86.99999999999928
62,42496,20,91.09999999999904,91.09999999999904
63,43377,19,86.99999999999928,86.99999999999928
64,44309,20,92.09999999999899,92.09999999999899
65,45243,21,92.29999999999897,92.29999999999897
66,46108,29,85.39999999999937,85.39999999999937
67,46971,14,85.19999999999938,85.19999999999938
68,47965,17,98.29999999999863,98.29999999999863
69,48887,20,91.09999999999904,91.09999999999904
70,49986,32,108.79999999999804,108.79999999999804
71,51157,22,115.99999999999763,115.99999999999763
72,52055,30,88.69999999999918,88.69999999999918
73,52988,37,92.19999999999898,92.19999999999898
74,54302,32,130.29999999999683,130.29999999999683
75,55415,32,110.19999999999796,110.19999999999796
76,56376,38,94.99999999999882,94.99999999999882
77,57391,28,100.39999999999851,100.39999999999851
78,58492,31,108.99999999999802,108.99999999999802
79,59516,29,101.29999999999846,101.29999999999846
80,60390,30,86.29999999999932,86.29999999999932
81,61314,31,91.29999999999903,91.29999999999903
82,62329,28,100.39999999999851,100.39999999999851
83,63344,28,100.39999999999851,100.39999999999851
84,64445,31,108.99999999999802,108.99999999999802
85,65475,29,101.89999999999843,101.89999999999843
86,66526,29,103.99999999999831,103.99999999999831
87,67551,29,101.39999999999846,101.39999999999846
88,68566,28,100.39999999999851,100.39999999999851
89,69581,28,100.39999999999851,100.39999999999851
90,70783,23,119.09999999999745,119.09999999999745
91,71724,26,92.99999999999893,92.99999999999893
92,72739,28,100.39999999999851,100.39999999999851
93,73756,28,100.5999999999985,100.5999999999985
94,74857,31,108.99999999999802,108.99999999999802
95,75874,28,100.5999999999985,100.5999999999985
96,76744,29,85.89999999999934,85.89999999999934
97,77723,33,96.79999999999872,96.79999999999872
98,78740,28,100.5999999999985,100.5999999999985
99,79943,23,119.19999999999744,119.19999999999744
100,80958,28,100.39999999999851,100.39999999999851
101,81899,26,92.99999999999893,92.99999999999893
102,82915,28,100.49999999999851,100.49999999999851
103,83887,32,96.09999999999876,96.09999999999876
104,84857,32,95.89999999999877,95.89999999999877
105,85828,32,95.99999999999876,95.99999999999876
106,86825,33,98.59999999999862,98.59999999999862
