episode_num,steps,score,total_rewards,avg_rewards
0,50,0,-7.499999999999998,-7.499999999999998
1,100,0,-2.699999999999998,-2.699999999999998
2,150,0,-0.29999999999999893,-0.29999999999999893
3,200,0,-6.299999999999999,-6.299999999999999
4,250,0,-3.899999999999998,-3.899999999999998
5,300,0,3.8999999999999986,3.8999999999999986
6,350,0,3.8999999999999986,3.8999999999999986
7,400,0,3.8999999999999986,3.8999999999999986
8,450,0,-8.7,-8.7
9,500,0,-6.899999999999999,-6.899999999999999
10,550,0,-8.7,-8.7
11,600,0,3.8999999999999986,3.8999999999999986
12,650,0,3.8999999999999986,3.8999999999999986
13,700,0,3.8999999999999986,3.8999999999999986
14,750,0,3.8999999999999986,3.8999999999999986
15,800,0,3.8999999999999986,3.8999999999999986
16,850,0,3.8999999999999986,3.8999999999999986
17,904,0,4.299999999999997,4.299999999999997
18,954,0,3.8999999999999986,3.8999999999999986
19,1004,0,3.8999999999999986,3.8999999999999986
20,1054,0,3.8999999999999986,3.8999999999999986
21,1104,0,3.8999999999999986,3.8999999999999986
22,1156,0,4.099999999999998,4.099999999999998
23,1206,0,3.8999999999999986,3.8999999999999986
24,1257,0,3.9999999999999982,3.9999999999999982
25,1308,0,3.9999999999999982,3.9999999999999982
26,1362,0,4.299999999999997,4.299999999999997
27,1412,0,3.8999999999999986,3.8999999999999986
28,1465,0,4.1999999999999975,4.1999999999999975
29,1519,0,4.299999999999997,4.299999999999997
30,1573,0,4.299999999999997,4.299999999999997
31,1629,0,4.4999999999999964,4.4999999999999964
32,1679,0,3.8999999999999986,3.8999999999999986
33,1729,0,3.8999999999999986,3.8999999999999986
34,1779,0,3.8999999999999986,3.8999999999999986
35,1836,0,4.599999999999996,4.599999999999996
36,1891,0,4.399999999999997,4.399999999999997
37,1941,0,3.8999999999999986,3.8999999999999986
38,1991,0,3.8999999999999986,3.8999999999999986
39,2046,0,4.399999999999997,4.399999999999997
40,2098,0,4.099999999999998,4.099999999999998
41,2153,0,4.399999999999997,4.399999999999997
42,2210,0,4.599999999999996,4.599999999999996
43,2264,0,4.299999999999997,4.299999999999997
44,2316,0,4.099999999999998,4.099999999999998
45,2366,0,3.8999999999999986,3.8999999999999986
46,2433,1,6.499999999999993,6.499999999999993
47,2562,2,13.599999999999971,13.599999999999971
48,2614,0,4.099999999999998,4.099999999999998
49,2665,0,3.9999999999999982,3.9999999999999982
50,2715,0,3.8999999999999986,3.8999999999999986
51,2765,0,3.8999999999999986,3.8999999999999986
52,2815,0,3.8999999999999986,3.8999999999999986
53,2865,0,3.8999999999999986,3.8999999999999986
54,2916,0,3.9999999999999982,3.9999999999999982
55,2966,0,3.8999999999999986,3.8999999999999986
56,3016,0,3.8999999999999986,3.8999999999999986
57,3070,0,4.299999999999997,4.299999999999997
58,3120,0,3.8999999999999986,3.8999999999999986
59,3170,0,3.8999999999999986,3.8999999999999986
60,3223,0,4.1999999999999975,4.1999999999999975
61,3273,0,3.8999999999999986,3.8999999999999986
62,3323,0,3.8999999999999986,3.8999999999999986
63,3373,0,3.8999999999999986,3.8999999999999986
64,3431,0,4.699999999999996,4.699999999999996
65,3494,1,6.099999999999994,6.099999999999994
66,3551,0,4.599999999999996,4.599999999999996
67,3601,0,3.8999999999999986,3.8999999999999986
68,3654,0,4.1999999999999975,4.1999999999999975
69,3704,0,3.8999999999999986,3.8999999999999986
70,3760,0,4.4999999999999964,4.4999999999999964
71,3817,0,4.599999999999996,4.599999999999996
72,3867,0,3.8999999999999986,3.8999999999999986
73,3927,0,4.899999999999995,4.899999999999995
74,3987,0,4.899999999999995,4.899999999999995
75,4045,0,4.699999999999996,4.699999999999996
76,4131,1,8.399999999999986,8.399999999999986
77,4194,1,6.099999999999994,6.099999999999994
78,4250,0,4.4999999999999964,4.4999999999999964
79,4310,0,4.899999999999995,4.899999999999995
80,4366,0,4.4999999999999964,4.4999999999999964
81,4424,0,4.699999999999996,4.699999999999996
82,4480,0,4.4999999999999964,4.4999999999999964
83,4538,0,4.699999999999996,4.699999999999996
84,4624,1,8.399999999999986,8.399999999999986
85,4710,1,8.399999999999986,8.399999999999986
86,4771,1,4.999999999999995,4.999999999999995
87,4831,0,4.899999999999995,4.899999999999995
88,4889,0,4.699999999999996,4.699999999999996
89,4975,1,8.399999999999986,8.399999999999986
90,5036,1,4.999999999999995,4.999999999999995
91,5123,1,8.499999999999986,8.499999999999986
92,5211,1,8.599999999999985,8.599999999999985
93,5379,3,18.400000000000016,18.400000000000016
94,5465,1,8.399999999999986,8.399999999999986
95,5515,0,3.8999999999999986,3.8999999999999986
96,5575,0,4.899999999999995,4.899999999999995
97,5635,0,4.899999999999995,4.899999999999995
98,5721,1,8.399999999999986,8.399999999999986
99,5777,0,4.4999999999999964,4.4999999999999964
100,5835,0,4.699999999999996,4.699999999999996
